Race,Incumbent Win? Y/N,GovTrack ID,Party,Last Name,First Name,Middle Name,Suffix,Gender (M/F),Birthday (YYYY-MM-DD),FEC.gov ID,Wikidata ID,Twitter Handle,Found photo?
FL3,N,,R,Cammack,Katherine,,,F,1988-02-16,H0FL03175,Q98523243,@Kat_Cammack,
FL4,Y,,,,,,,,,,,,
FL5,Y,,,,,,,,,,,,
FL6,Y,,,,,,,,,,,,
FL7,Y,,,,,,,,,,,,
FL8,Y,,,,,,,,,,,,
FL9,Y,,,,,,,,,,,,
FL10,Y,,,,,,,,,,,,
FL11,Y,,,,,,,,,,,,
FL12,Y,,,,,,,,,,,,
FL13,Y,,,,,,,,,,,,
FL14,Y,,,,,,,,,,,,
FL15,N,,R,Franklin,Scott,,,M,1964-08-23,H0FL15104,Q101198561,@ScottFranklinFL,
FL16,Y,,,,,,,,,,,,
FL17,Y,,,,,,,,,,,,
FL18,Y,,,,,,,,,,,,
FL19,N,,R,Donalds,Byron,Lowell,,M,1972-10-28,H0FL19205,Q59726216,@ByronDonalds,
FL20,Y,,,,,,,,,,,,
FL21,Y,,,,,,,,,,,,
FL22,Y,,,,,,,,,,,,
FL23,Y,,,,,,,,,,,,
FL24,Y,,,,,,,,,,,,
FL25,Y,,,,,,,,,,,,
FL26,N,,R,Giménez,Carlos,A.,,M,1954-01-17,H0FL26036,Q5041653,currently @MayorGimenez,
FL27,N,,R,Salazar,Maria,Elvira,,M,1961-11-01,H8FL27185,Q6003715,@MaElviraSalazar,
GA1,Y,,,,,,,,,,,,
GA2,Y,,,,,,,,,,,,
GA3,Y,,,,,,,,,,,,
GA4,Y,,,,,,,,,,,,
GA5,N,,D,Williams,Nikema,Natassha,,F,1978-07-30,H0GA05301,Q56486570,@NikemaWilliams,
GA6,Y,,,,,,,,,,,,
GA7,N,,D,Bourdeaux,Carolyn,,,F,1970-06-03,H8GA07201,Q58333638,@Carolyn4GA7,
GA8,Y,,,,,,,,,,,,
GA9,N,,R,Clyde,Andrew,,,M,1963-11-22,H0GA09246,Q102277679,,
GA10,Y,,,,,,,,,,,,
GA11,Y,,,,,,,,,,,,
GA12,Y,,,,,,,,,,,,
GA13,Y,,,,,,,,,,,,
GA14,N,,R,Greene,Marjorie,Taylor,,F,1974-05-27,H0GA06192,Q98380406,@MTGreenee,
GU0,Y,,,,,,,,,,,,
HI1,Y,,,,,,,,,,,,
HI2,N,,D,Kahele,Kaialiʻi,,,M,1974-03-28,H0HI02155,Q28861508,@KaiKahele,
IA1,N,,R,Hinson,Ashley,,,F,1983-06-27,H0IA01174,Q60713905,@HinsonAshley,
IA2,N,,R,Miller-Meeks,Mariannette,Jane,,F,1955-09-06,H8IA02043,Q58495662,@MillerMeeks,
IA3,Y,,,,,,,,,,,,
IA4,N,,R,Feenstra,Randy,L.,,M,1969-01-14,H0IA04145,Q7292187,@RandyFeenstra,
ID1,Y,,,,,,,,,,,,
ID2,Y,,,,,,,,,,,,
IL1,Y,,,,,,,,,,,,
IL2,Y,,,,,,,,,,,,
IL3,N,,D,Newman,Marie,,,F,1964-04-13,H8IL03102,Q47960940,currently @Marie4Congress,
IL4,Y,,,,,,,,,,,,
IL5,Y,,,,,,,,,,,,
IL6,Y,,,,,,,,,,,,
IL7,Y,,,,,,,,,,,,
IL8,Y,,,,,,,,,,,,
IL9,Y,,,,,,,,,,,,
IL10,Y,,,,,,,,,,,,
IL11,Y,,,,,,,,,,,,
IL12,Y,,,,,,,,,,,,
IL13,Y,,,,,,,,,,,,
IL14,Y,,,,,,,,,,,,
IL15,N,,R,Miller,Mary,,,F,1959-08-27,H0IL15129,Q101204553,@Miller_Congress,
IL16,Y,,,,,,,,,,,,
IL17,Y,,,,,,,,,,,,
IL18,Y,,,,,,,,,,,,
IN1,N,,D,Mrvan,Frank,John,,M,1969-04-16,H0IN01150,Q96077897,currently @Mrvan4Congress,
IN2,Y,,,,,,,,,,,,
IN3,Y,,,,,,,,,,,,
IN4,Y,,,,,,,,,,,,
IN5,N,,R,Spartz,Victoria,,,F,1978-10-06,H0IN05326,Q44059867,@Victoria_Spartz,
IN6,Y,,,,,,,,,,,,
IN7,Y,,,,,,,,,,,,
IN8,Y,,,,,,,,,,,,
IN9,Y,,,,,,,,,,,,
KS1,N,,R,Mann,Tracey,Robert,,M,1976-12-17,H0KS01123,Q48767554,@TraceyMannKS,
KS2,N,,R,LaTurner,Jacob,,,M,1988-02-17,H0KS02188,Q16731273,@JakeLaTurner,
KS3,Y,,,,,,,,,,,,
KS4,Y,,,,,,,,,,,,
KY1,Y,,,,,,,,,,,,
KY2,Y,,,,,,,,,,,,
KY3,Y,,,,,,,,,,,,
KY4,Y,,,,,,,,,,,,
KY5,Y,,,,,,,,,,,,
KY6,Y,,,,,,,,,,,,
LA1,Y,,,,,,,,,,,,
LA2,Y,,,,,,,,,,,,
LA3,Y,,,,,,,,,,,,
LA4,Y,,,,,,,,,,,,
LA5,Rep.-elect Luke Letlow has died of COVID-19 on December 29,,,,,,,,,,,,
LA6,Y,,,,,,,,,,,,
MA1,Y,,,,,,,,,,,,
MA2,Y,,,,,,,,,,,,
MA3,Y,,,,,,,,,,,,
MA4,N,,D,Auchincloss,Jake,Daniel,,M,1988-01-29,H0MA04192,Q101196632,@JakeAuch,
MA5,Y,,,,,,,,,,,,
MA6,Y,,,,,,,,,,,,
MA7,Y,,,,,,,,,,,,
MA8,Y,,,,,,,,,,,,
MA9,Y,,,,,,,,,,,,
MD1,Y,,,,,,,,,,,,
MD2,Y,,,,,,,,,,,,
MD3,Y,,,,,,,,,,,,
MD4,Y,,,,,,,,,,,,
MD5,Y,,,,,,,,,,,,
MD6,Y,,,,,,,,,,,,
MD7,Y,,,,,,,,,,,,
MD8,Y,,,,,,,,,,,,
ME1,Y,,,,,,,,,,,,
ME2,Y,,,,,,,,,,,,
MI1,Y,,,,,,,,,,,,
MI2,Y,,,,,,,,,,,,
MI3,N,,R,Meijer,Peter,James,,M,1988-01-10,H0MI03308,Q96419165,currently @VoteMeijer,
MI4,Y,,,,,,,,,,,,
MI5,Y,,,,,,,,,,,,
MI6,Y,,,,,,,,,,,,
MI7,Y,,,,,,,,,,,,
MI8,Y,,,,,,,,,,,,
MI9,Y,,,,,,,,,,,,
MI10,N,,R,McClain,Lisa,,,F,1966-04-07,H0MI10287,Q102184540,currently @LisaForCongress,
MI11,Y,,,,,,,,,,,,
MI12,Y,,,,,,,,,,,,
MI13,Y,,,,,,,,,,,,
MI14,Y,,,,,,,,,,,,
MN1,Y,,,,,,,,,,,,
MN2,Y,,,,,,,,,,,,
MN3,Y,,,,,,,,,,,,
MN4,Y,,,,,,,,,,,,
MN5,Y,,,,,,,,,,,,
MN6,Y,,,,,,,,,,,,
MN7,N,,R,Fischbach,Michelle,Louise Helene,,F,1965-11-03,H0MN07091,Q6837025,@FischbachMN7,
MN8,Y,,,,,,,,,,,,
MO1,N,,D,Bush,Cori,,,F,1976-07-21,H8MO01143,Q98084800,@CoriBush,
MO2,Y,,,,,,,,,,,,
MO3,Y,,,,,,,,,,,,
MO4,Y,,,,,,,,,,,,
MO5,Y,,,,,,,,,,,,
MO6,Y,,,,,,,,,,,,
MO7,Y,,,,,,,,,,,,
MO8,Y,,,,,,,,,,,,
MP0,Y,,,,,,,,,,,,
MS1,Y,,,,,,,,,,,,
MS2,Y,,,,,,,,,,,,
MS3,Y,,,,,,,,,,,,
MS4,Y,,,,,,,,,,,,
MT0,N,,R,Rosendale,Matthew,Martin,Sr.,M,1960-07-07,H4MT00050,Q6791163,currently @MattForMontana,
NC1,Y,,,,,,,,,,,,
NC2,N,,D,Ross,Deborah,Koff,,F,1963-06-20,H0NC02125,Q5248285,@DeborahRossNC,
NC3,Y,,,,,,,,,,,,
NC4,Y,,,,,,,,,,,,
NC5,Y,,,,,,,,,,,,
NC6,N,,D,Manning,Kathy,Ellen,,F,1956-12-03,H8NC13067,Q101136890,@KathyManningNC,
NC7,Y,,,,,,,,,,,,
NC8,Y,,,,,,,,,,,,
NC9,Y,,,,,,,,,,,,
NC10,Y,,,,,,,,,,,,
NC11,N,,R,Cawthorn,David,Madison,,M,1995-08-01,H0NC11233,Q96633736,currently @CawthornforNC,
NC12,Y,,,,,,,,,,,,
NC13,Y,,,,,,,,,,,,
ND0,Y,,,,,,,,,,,,
NE1,Y,,,,,,,,,,,,
NE2,Y,,,,,,,,,,,,
NE3,Y,,,,,,,,,,,,
NH1,Y,,,,,,,,,,,,
NH2,Y,,,,,,,,,,,,
NJ1,Y,,,,,,,,,,,,
NJ2,Y,,,,,,,,,,,,
NJ3,Y,,,,,,,,,,,,
NJ4,Y,,,,,,,,,,,,
NJ5,Y,,,,,,,,,,,,
NJ6,Y,,,,,,,,,,,,
NJ7,Y,,,,,,,,,,,,
NJ8,Y,,,,,,,,,,,,
NJ9,Y,,,,,,,,,,,,
NJ10,Y,,,,,,,,,,,,
NJ11,Y,,,,,,,,,,,,
NJ12,Y,,,,,,,,,,,,
NM1,Y,,,,,,,,,,,,
NM2,N,,R,Herrell,Stella,Yvette,,F,1964-03-16,H8NM02156,Q16225780,currently @Yvette4Congress,
NM3,N,,D,Fernandez,Teresa,Leger,,F,1959-07-01,S0NJ00258,Q96054905,currently @TeresaForNM,
NV1,Y,,,,,,,,,,,,
NV2,Y,,,,,,,,,,,,
NV3,Y,,,,,,,,,,,,
NV4,Y,,,,,,,,,,,,
NY1,Y,,,,,,,,,,,,
NY2,N,,R,Garbarino,Andrew,,,M,1984-09-27,H0NY02234,Q21257859,currently @GarbarinoforNY,
NY3,Y,,,,,,,,,,,,
NY4,Y,,,,,,,,,,,,
NY5,Y,,,,,,,,,,,,
NY6,Y,,,,,,,,,,,,
NY7,Y,,,,,,,,,,,,
NY8,Y,,,,,,,,,,,,
NY9,Y,,,,,,,,,,,,
NY10,Y,,,,,,,,,,,,
NY11,N,,R,Malliotakis,Nicole,,,F,1980-11-11,H0NY11078,Q7030112,@NMalliotakis,
NY12,Y,,,,,,,,,,,,
NY13,Y,,,,,,,,,,,,
NY14,Y,,,,,,,,,,,,
NY15,N,,D,Torres,Ritchie,John,,M,1988-03-12,H0NY15160,Q16205227,@RitchieTorres,
NY16,N,,D,Bowman,Jamaal,,,M,1976-04-01,H0NY16143,Q96419280,@JamaalBowmanNY,
NY17,N,,D,Jones,Mondaire,,,M,1987-05-18,H0NY17174,Q96781248,@MondaireJones,
NY18,Y,,,,,,,,,,,,
NY19,Y,,,,,,,,,,,,
NY20,Y,,,,,,,,,,,,
NY21,Y,,,,,,,,,,,,
NY22,Race too close to call?,,,,,,,,,,,,
NY23,Y,,,,,,,,,,,,
NY24,Y,,,,,,,,,,,,
NY25,Y,,,,,,,,,,,,
NY26,Y,,,,,,,,,,,,
NY27,Y,,,,,,,,,,,,
OH1,Y,,,,,,,,,,,,
OH2,Y,,,,,,,,,,,,
OH3,Y,,,,,,,,,,,,
OH4,Y,,,,,,,,,,,,
OH5,Y,,,,,,,,,,,,
OH6,Y,,,,,,,,,,,,
OH7,Y,,,,,,,,,,,,
OH8,Y,,,,,,,,,,,,
OH9,Y,,,,,,,,,,,,
OH10,Y,,,,,,,,,,,,
OH11,Y,,,,,,,,,,,,
OH12,Y,,,,,,,,,,,,
OH13,Y,,,,,,,,,,,,
OH14,Y,,,,,,,,,,,,
OH15,Y,,,,,,,,,,,,
OH16,Y,,,,,,,,,,,,
OK1,Y,,,,,,,,,,,,
OK2,Y,,,,,,,,,,,,
OK3,Y,,,,,,,,,,,,
OK4,Y,,,,,,,,,,,,
OK5,N,,R,Bice,Stephanie,,,F,1973-11-11,H0OK05205,Q60190894,@StephanieBice,
OR1,Y,,,,,,,,,,,,
OR2,N,,R,Bentz,Cliff,Stewart,,M,1952-01-12,H0OR02127,Q5132536,@CliffBentz,
OR3,Y,,,,,,,,,,,,
OR4,Y,,,,,,,,,,,,
OR5,Y,,,,,,,,,,,,
PA1,Y,,,,,,,,,,,,
PA2,Y,,,,,,,,,,,,
PA3,Y,,,,,,,,,,,,
PA4,Y,,,,,,,,,,,,
PA5,Y,,,,,,,,,,,,
PA6,Y,,,,,,,,,,,,
PA7,Y,,,,,,,,,,,,
PA8,Y,,,,,,,,,,,,
PA9,Y,,,,,,,,,,,,
PA10,Y,,,,,,,,,,,,
PA11,Y,,,,,,,,,,,,
PA12,Y,,,,,,,,,,,,
PA13,Y,,,,,,,,,,,,
PA14,Y,,,,,,,,,,,,
PA15,Y,,,,,,,,,,,,
PA16,Y,,,,,,,,,,,,
PA17,Y,,,,,,,,,,,,
PA18,Y,,,,,,,,,,,,
PR0,Y,,,,,,,,,,,,
RI1,Y,,,,,,,,,,,,
RI2,Y,,,,,,,,,,,,
SC1,N,,R,Mace,Nancy,Ruth,,F,1977-12-04,H0SC01394,Q6962831,@NancyMace,
SC2,Y,,,,,,,,,,,,
SC3,Y,,,,,,,,,,,,
SC4,Y,,,,,,,,,,,,
SC5,Y,,,,,,,,,,,,
SC6,Y,,,,,,,,,,,,
SC7,Y,,,,,,,,,,,,
SD0,Y,,,,,,,,,,,,
TN1,N,,R,Harshbarger,Diana,,,F,1960-01-01,H0TN01118,Q101197341,@DHarshbargerTN1,
TN2,Y,,,,,,,,,,,,
TN3,Y,,,,,,,,,,,,
TN4,Y,,,,,,,,,,,,
TN5,Y,,,,,,,,,,,,
TN6,Y,,,,,,,,,,,,
TN7,Y,,,,,,,,,,,,
TN8,Y,,,,,,,,,,,,
TN9,Y,,,,,,,,,,,,
TX1,Y,,,,,,,,,,,,
TX2,Y,,,,,,,,,,,,
TX3,Y,,,,,,,,,,,,
TX4,N,,R,Fallon,Patrick,Edward,,M,1967-12-19,H0TX04219,Q16196923,currently @FallonForTexas,
TX5,Y,,,,,,,,,,,,
TX6,Y,,,,,,,,,,,,
TX7,Y,,,,,,,,,,,,
TX8,Y,,,,,,,,,,,,
TX9,Y,,,,,,,,,,,,
TX10,Y,,,,,,,,,,,,
TX11,N,,R,Pfluger,August,Lee,II,M,1978-12-28,H0TX11230,Q101196462,@AugustPfluger,
TX12,Y,,,,,,,,,,,,
TX13,N,,R,Jackson,Ronny,Lynn,,M,1967-05-04,H0TX13228,Q47270118,currently @RonnyJackson4TX,
TX14,Y,,,,,,,,,,,,
TX15,Y,,,,,,,,,,,,
TX16,Y,,,,,,,,,,,,
TX17,N,400367,R,Sessions,Pete,,,,,,,,
TX18,Y,,,,,,,,,,,,
TX19,Y,,,,,,,,,,,,
TX20,Y,,,,,,,,,,,,
TX21,Y,,,,,,,,,,,,
TX22,N,,R,Nehls,Troy,E.,,M,1968-04-07,H0TX22302,Q96741441,@SheriffTNehls,
TX23,N,,R,Gonzales,Ernest,Anthony,II,M,1980-10-10,H0TX35015,,currently @TonyGonzales4TX,
TX24,N,,R,Van Duyne,Beth,Ann,,F,1970-11-16,H0TX24209,Q66309702,@BethVanDuyne,
TX25,Y,,,,,,,,,,,,
TX26,Y,,,,,,,,,,,,
TX27,Y,,,,,,,,,,,,
TX28,Y,,,,,,,,,,,,
TX29,Y,,,,,,,,,,,,
TX30,Y,,,,,,,,,,,,
TX31,Y,,,,,,,,,,,,
TX32,Y,,,,,,,,,,,,
TX33,Y,,,,,,,,,,,,
TX34,Y,,,,,,,,,,,,
TX35,Y,,,,,,,,,,,,
TX36,Y,,,,,,,,,,,,
UT1,N,,R,Moore,Blake,David,,M,1980-06-22,H0UT01205,Q101196971,currently @ElectBlakeMoore,https://en.wikipedia.org/wiki/Blake_Moore#/media/File:Blake_Moore_117th_U.S_Congress.jpg
UT2,Y,,,,,,,,,,,,
UT3,Y,,,,,,,,,,,,
UT4,N,,R,Owens,Clarence,Burgess,,M,1951-08-02,H0UT04076,Q4998602,@BurgessOwens,
VA1,Y,,,,,,,,,,,,
VA2,Y,,,,,,,,,,,,
VA3,Y,,,,,,,,,,,,
VA4,Y,,,,,,,,,,,,
VA5,N,,R,Good,Robert,G.,,M,1965-09-11,H0VA05160,Q103850475,currently @GoodForCongress,
VA6,Y,,,,,,,,,,,,
VA7,Y,,,,,,,,,,,,
VA8,Y,,,,,,,,,,,,
VA9,Y,,,,,,,,,,,,
VA10,Y,,,,,,,,,,,,
VA11,Y,,,,,,,,,,,,
VI0,Y,,,,,,,,,,,,
VT0,Y,,,,,,,,,,,,
WA1,Y,,,,,,,,,,,,
WA2,Y,,,,,,,,,,,,
WA3,Y,,,,,,,,,,,,
WA4,Y,,,,,,,,,,,,
WA5,Y,,,,,,,,,,,,
WA6,Y,,,,,,,,,,,,
WA7,Y,,,,,,,,,,,,
WA8,Y,,,,,,,,,,,,
WA9,Y,,,,,,,,,,,,
WA10,N,,D,Strickland,Marilyn,,,F,1962-09-25,H0WA10034,Q1898180,currently @StricklandForWA,
WI1,Y,,,,,,,,,,,,
WI2,Y,,,,,,,,,,,,
WI3,Y,,,,,,,,,,,,
WI4,Y,,,,,,,,,,,,
WI5,N,,R,Fitzgerald,Scott,L.,,M,1963-11-16,H0WI05113,Q7436650,currently @SenFitzgerald,
WI6,Y,,,,,,,,,,,,
WI7,Y,,,,,,,,,,,,
WI8,Y,,,,,,,,,,,,
WV1,Y,,,,,,,,,,,,
WV2,Y,,,,,,,,,,,,
WV3,Y,,,,,,,,,,,,
WY0,Y,,,,,,,,,,,,
