PREFIX,FIRST,MIDDLE,LAST,SUFFIX,ADDRESS,CITY,STATE,POSTAL CODE,113 ST/DIS,BIOGUIDE ID
The Honorable ,Robert,B.,Aderholt,,2369 Rayburn House Office Building,Washington,DC,20515-0104,AL04,A000055
The Honorable ,Rodney,,Alexander,,316 Cannon House Office Building,Washington,DC,20515-1805,LA05,A000361
The Honorable ,Justin,,Amash,,114 Cannon House Office Building,Washington,DC,20515-2203,MI03,A000367
The Honorable ,Mark,E.,Amodei,,222 Cannon House Office Building,Washington,DC,20515-2802,NV02,A000369
The Honorable ,Robert,E.,Andrews,,2265 Rayburn House Office Building,Washington,DC,20515-3001,NJ01,A000210
The Honorable ,Michele,,Bachmann,,2417 Rayburn House Office Building,Washington,DC,20515-2306,MN06,B001256
The Honorable ,Spencer,,Bachus,,2246 Rayburn House Office Building,Washington,DC,20515-0106,AL06,B000013
The Honorable ,Ron,,Barber,,1029 Longworth House Office Building,Washington,DC,20515-0308,AZ02,B001279
The Honorable ,Lou,,Barletta,,115 Cannon House Office Building,Washington,DC,20515-3811,PA11,B001269
Representative-elect,Garland ,Andy,Barr,,1432 Longworth House Office Building,Washington,DC,20515-1706,KY06,B001282
The Honorable ,John,,Barrow,,2202 Rayburn House Office Building,Washington,DC,20515-1012,GA12,B001252
The Honorable ,Joe,,Barton,,2107 Rayburn House Office Building,Washington,DC,20515-4306,TX06,B000213
The Honorable ,Karen,,Bass,,408 Cannon House Office Building,Washington,DC,20515-0533,CA37,B001270
Representative-elect,Joyce,,Beatty,,417 Cannon House Office Building,Washington,DC,20515-6601,OH03,B001281
The Honorable ,Xavier,,Becerra,,1226 Longworth House Office Building,Washington,DC,20515-0531,CA34,B000287
The Honorable ,Dan,,Benishek,,514 Cannon House Office Building,Washington,DC,20515-2201,MI01,B001271
Representative-elect,Kerry,L.,Bentivolio,,226 Cannon House Office Building,Washington,DC,20515-6601,MI11,B001280
Representative-elect,Ami,,Bera,,1408 Longworth House Office Building,Washington,DC,20515-6601,CA07,B001287
The Honorable ,Gus,M.,Bilirakis,,2313 Rayburn House Office Building,Washington,DC,20515-0909,FL12,B001257
The Honorable ,Rob,,Bishop,,123 Cannon House Office Building,Washington,DC,20515-4401,UT01,B001250
The Honorable ,Sanford,D.,Bishop,Jr.,2429 Rayburn House Office Building,Washington,DC,20515-1002,GA02,B000490
The Honorable ,Timothy,H.,Bishop,,306 Cannon House Office Building,Washington,DC,20515-3201,NY01,B001242
The Honorable ,Diane,,Black,,1531 Longworth House Office Building,Washington,DC,20515-4206,TN06,B001273
The Honorable ,Marsha,,Blackburn,,217 Cannon House Office Building,Washington,DC,20515-4207,TN07,B001243
The Honorable ,Earl,,Blumenauer,,1111 Longworth House Office Building,Washington,DC,20515-3703,OR03,B000574
The Honorable ,John,A.,Boehner,,1011 Longworth House Office Building,Washington,DC,20515-3508,OH08,B000589
The Honorable ,Suzanne,,Bonamici,,439 Cannon House Office Building,Washington,DC,20515-3701,OR01,B001278
The Honorable ,Jo,,Bonner,,2236 Rayburn House Office Building,Washington,DC,20515-0101,AL01,B001244
The Honorable ,Madeleine,Z.,Bordallo,,2441 Rayburn House Office Building,Washington,DC,20515-5301,GU00,B001245
The Honorable ,Charles,W.,Boustany,Jr.,1431 Longworth House Office Building,Washington,DC,20515-1807,LA03,B001255
The Honorable ,Kevin,,Brady,,301 Cannon House Office Building,Washington,DC,20515-4308,TX08,B000755
The Honorable ,Robert,A.,Brady,,102 Cannon House Office Building,Washington,DC,20515-3801,PA01,B001227
The Honorable ,Bruce,L.,Braley,,2263 Rayburn House Office Building,Washington,DC,20515-1501,IA01,B001259
Representative-elect,Jim,,Bridenstine,,216 Cannon House Office Building,Washington,DC,20515-3601,OK01,B001283
The Honorable ,Mo,,Brooks,,1230 Longworth House Office Building,Washington,DC,20515-0105,AL05,B001274
Representative-elect,Susan,W.,Brooks,,1505 Longworth House Office Building,Washington,DC,20515-1405,IN05,B001284
The Honorable ,Paul,C.,Broun,,2437 Rayburn House Office Building,Washington,DC,20515-1009,GA10,B001262
The Honorable ,Corrine,,Brown,,2111 Rayburn House Office Building,Washington,DC,20515-0903,FL05,B000911
Representative-elect,Julia,,Brownley,,1019 Longworth House Office Building,Washington,DC,20512-6601,CA26,B001285
The Honorable ,Vern,,Buchanan,,2104 Rayburn House Office Building,Washington,DC,20515-0913,FL16,B001260
The Honorable ,Larry,,Bucshon,,1005 Longworth House Office Building,Washington,DC,20515-1408,IN08,B001275
The Honorable ,Michael,C.,Burgess,,2336 Rayburn House Office Building,Washington,DC,20515-4326,TX26,B001248
Representative-elect,Cheri,,Bustos,,1009 Longworth House Office Building,Washington,DC,20515-6601,IL17,B001286
The Honorable ,G.,K.,Butterfield,,2305 Rayburn House Office Building,Washington,DC,20515-3301,NC01,B001251
The Honorable ,Ken,,Calvert,,2269 Rayburn House Office Building,Washington,DC,20515-0544,CA42,C000059
The Honorable ,Dave,,Camp,,341 Cannon House Office Building,Washington,DC,20515-2204,MI04,C000071
The Honorable ,John,,Campbell,,2331 Rayburn House Office Building,Washington,DC,20515-0548,CA45,C001064
The Honorable ,Eric,,Cantor,,303 Cannon House Office Building,Washington,DC,20515-4607,VA07,C001046
The Honorable ,Shelley,Moore,Capito,,2366 Rayburn House Office Building,Washington,DC,20515-4802,WV02,C001047
The Honorable ,Lois,,Capps,,2231 Rayburn House Office Building,Washington,DC,20515-0523,CA24,C001036
The Honorable ,Michael,E.,Capuano,,1414 Longworth House Office Building,Washington,DC,20515-2108,MA07,C001037
Representative-elect,Tony,,Cárdenas,,1508 Longworth House Office Building,Washington,DC,20515-6601,CA29,C001097
The Honorable ,John,C.,Carney,Jr.,1406 Longworth House Office Building,Washington,DC,20515-0801,DE00,C001083
The Honorable ,André,,Carson,,2453 Rayburn House Office Building,Washington,DC,20515-1407,IN07,C001072
The Honorable ,John,R.,Carter,,409 Cannon House Office Building,Washington,DC,20515-4331,TX31,C001051
Representative-elect,Matthew,A.,Cartwright,,1419 Longworth House Office Building,Washington,DC,20515-3817,PA17,C001090
The Honorable ,Bill,,Cassidy,,1131 Longworth House Office Building,Washington,DC,20515-1806,LA06,C001075
The Honorable ,Kathy,,Castor,,205 Cannon House Office Building,Washington,DC,20515-0911,FL14,C001066
Representative-elect,Joaquin,,Castro,,212 Cannon House Office Building,Washington,DC,20515-4320,TX20,C001091
The Honorable ,Steve,,Chabot,,2371 Rayburn House Office Building,Washington,DC,20515-3501,OH01,C000266
The Honorable ,Jason,,Chaffetz,,2464 Rayburn House Office Building,Washington,DC,20515-4403,UT03,C001076
The Honorable ,Donna,M.,Christensen,,1510 Longworth House Office Building,Washington,DC,20515-5501,VI00,C000380
The Honorable ,Judy,,Chu,,1520 Longworth House Office Building,Washington,DC,20515-0532,CA27,C001080
The Honorable ,David,N.,Cicilline,,128 Cannon House Office Building,Washington,DC,20515-3901,RI01,C001084
The Honorable ,Yvette,D.,Clarke,,2351 Rayburn House Office Building,Washington,DC,20515-3211,NY09,C001067
The Honorable ,Wm.,Lacy,Clay,,2418 Rayburn House Office Building,Washington,DC,20515-2501,MO01,C001049
The Honorable ,Emanuel,,Cleaver,,2335 Rayburn House Office Building,Washington,DC,20515-2505,MO05,C001061
The Honorable ,James,E.,Clyburn,,242 Cannon House Office Building,Washington,DC,20515-4006,SC06,C000537
The Honorable ,Howard,,Coble,,2188 Rayburn House Office Building,Washington,DC,20515-3306,NC06,C000556
The Honorable ,Mike,,Coffman,,2443 Longworth House Office Building,Washington,DC,20515-0606,CO06,C001077
The Honorable ,Steve,,Cohen,,2404 Rayburn House Office Building,Washington,DC,20515-4209,TN09,C001068
The Honorable ,Tom,,Cole,,2458 Rayburn House Office Building,Washington,DC,20515-3604,OK04,C001053
Representative-elect,Chris,,Collins,,1117 Longworth House Office Building,Washington,DC,20515-6601,NY27,C001092
Representative-elect,Doug,,Collins,,513 Cannon House Office Building,Washington,DC,20515-6601,GA09,C001093
The Honorable ,K.,Michael,Conaway,,2430 Rayburn House Office Building,Washington,DC,20515-4311,TX11,C001062
The Honorable ,Gerald,E.,Connolly,,424 Cannon House Office Building,Washington,DC,20515-4611,VA11,C001078
The Honorable ,John,,Conyers,Jr.,2426 Rayburn House Office Building,Washington,DC,20515-2214,MI13,C000714
Representative-elect,Paul,,Cook,,1222 Longworth House Office Building,Washington,DC,20515-6601,CA08,C001094
The Honorable ,Jim,,Cooper,,1536 Longworth House Office Building,Washington,DC,20515-4205,TN05,C000754
The Honorable ,Jim,,Costa,,1314 Longworth House Office Building,Washington,DC,20515-0520,CA16,C001059
Representative-elect,Tom,,Cotton,,415 Cannon House Office Building,Washington,DC,20515-0404,AR04,C001095
The Honorable ,Joe,,Courtney,,2348 Rayburn House Office Building,Washington,DC,20515-0702,CT02,C001069
Representative-elect,Kevin,,Cramer,,1032 Longworth House Office Building,Washington,DC,20515-3401,ND00,C001096
The Honorable ,Eric,A. “Rick”,Crawford,,1711 Longworth House Office Building,Washington,DC,20515-0401,AR01,C001087
The Honorable ,Ander,,Crenshaw,,440 Cannon House Office Building,Washington,DC,20515-0904,FL04,C001045
The Honorable ,Joseph,,Crowley,,1436 Longworth House Office Building,Washington,DC,20515-3207,NY14,C001038
The Honorable ,Henry,,Cuellar,,2431 Rayburn House Office Building,Washington,DC,20515-4328,TX28,C001063
The Honorable ,John,Abney,Culberson,,2352 Rayburn House Office Building,Washington,DC,20515-4307,TX07,C001048
The Honorable ,Elijah,E.,Cummings,,2235 Rayburn House Office Building,Washington,DC,20515-2007,MD07,C000984
Representative-elect,Steve,,Daines,,206 Cannon House Office Building,Washington,DC,20515,MT00,D000618
The Honorable ,Danny,K.,Davis,,2159 Rayburn House Office Building,Washington,DC,20515-1307,IL07,D000096
Representative-elect,Rodney,,Davis,,1740 Longworth House Office Building,Washington,DC,20515-1313,IL13,D000619
The Honorable ,Susan,A.,Davis,,1526 Longworth House Office Building,Washington,DC,20515-0553,CA53,D000598
The Honorable ,Peter,A.,DeFazio,,2134 Rayburn House Office Building,Washington,DC,20515-3704,OR04,D000191
The Honorable ,Diana,,DeGette,,2368 Rayburn House Office Building,Washington,DC,20515-0601,CO01,D000197
Representative-elect,John,K.,Delaney,,1632 Longworth House Office Building,Washington,DC,20515-2006,MD06,D000620
The Honorable ,Rosa,L.,DeLauro,,2413 Rayburn House Office Building,Washington,DC,20515-0703,CT03,D000216
The Honorable ,Suzan,K.,DelBene,,318 Cannon House Office Building,Washington,DC,20515-4701,WA01,D000617
The Honorable ,Jeff,,Denham,,1730 Longworth House Office Building,Washington,DC,20515-0519,CA10,D000612
The Honorable ,Charles,W.,Dent,,2455 Rayburn House Office Building,Washington,DC,20515-3815,PA15,D000604
Representative-elect,Ron,,DeSantis,,427 Cannon House Office Building,Washington,DC,20515-6601,FL06,D000621
The Honorable ,Scott,,DesJarlais,,413 Cannon House Office Building,Washington,DC,20515-4204,TN04,D000616
The Honorable ,Theodore,E.,Deutch,,1024 Longworth House Office Building,Washington,DC,20515-0919,FL21,D000610
The Honorable ,Mario,,Diaz-Balart,,436 Cannon House Office Building,Washington,DC,20515-0921,FL25,D000600
The Honorable ,John,D.,Dingell,,2328 Rayburn House Office Building,Washington,DC,20515-2215,MI12,D000355
The Honorable ,Lloyd,,Doggett,,201 Cannon House Office Building,Washington,DC,20515-4325,TX35,D000399
The Honorable ,Michael,F.,Doyle,,239 Cannon House Office Building,Washington,DC,20515-3814,PA14,D000482
Representative-elect,Tammy,,Duckworth,,104 Cannon House Office Building,Washington,DC,20515-1308,IL08,D000622
The Honorable ,Sean,P.,Duffy,,1208 Longworth House Office Building,Washington,DC,20515-4907,WI07,D000614
The Honorable ,Jeff,,Duncan,,116 Cannon House Office Building,Washington,DC,20515-4003,SC03,D000615
The Honorable ,John,J.,Duncan,Jr.,2207 Rayburn House Office Building,Washington,DC,20515-4202,TN02,D000533
The Honorable ,Donna,F.,Edwards,,2445 Rayburn House Office Building,Washington,DC,20515-2004,MD04,E000290
The Honorable ,Keith,,Ellison,,2244 Rayburn House Office Building,Washington,DC,20515-2305,MN05,E000288
The Honorable ,Renee,L.,Ellmers,,426 Cannon House Office Building,Washington,DC,20515-3302,NC02,E000291
The Honorable ,Jo Ann,,Emerson,,2230 Rayburn House Office Building,Washington,DC,20515-2508,MO08,E000172
The Honorable ,Eliot,L.,Engel,,2161 Rayburn House Office Building,Washington,DC,20515-3217,NY16,E000179
Representative-elect,William,L.,Enyart,,1722 Longworth House Office Building,Washington,DC,20515-1312,IL12,E000292
The Honorable ,Anna,G.,Eshoo,,241 Cannon House Office Building,Washington,DC,20515-0514,CA18,E000215
Representative-elect,Elizabeth,H.,Esty,,509 Cannon House Office Building,Washington,DC,20515-0705,CT05,E000293
The Honorable ,Eni,F. H.,Faleomavaega,,2422 Rayburn House Office Building,Washington,DC,20515-5201,AS00,F000010
The Honorable ,Blake,,Farenthold,,117 Cannon House Office Building,Washington,DC,20515-4327,TX27,F000460
The Honorable ,Sam,,Farr,,1126 Longworth House Office Building,Washington,DC,20515-0517,CA20,F000030
The Honorable ,Chaka,,Fattah,,2301 Rayburn House Office Building,Washington,DC,20515-3802,PA02,F000043
The Honorable ,Stephen,Lee,Fincher,,1118 Longworth House Office Building,Washington,DC,20515-4208,TN08,F000458
The Honorable ,Michael,G.,Fitzpatrick,,2400 Rayburn House Office Building,Washington,DC,20515-3808,PA08,F000451
The Honorable ,Charles,J. “Chuck”,Fleischmann,,230 Cannon House Office Building,Washington,DC,20515-4203,TN03,F000459
The Honorable ,John,,Fleming,,416 Cannon House Office Building,Washington,DC,20515-1804,LA04,F000456
The Honorable ,Bill,,Flores,,1030 Longworth House Office Building,Washington,DC,20515-4317,TX17,F000461
The Honorable ,J.,Randy,Forbes,,2135 Rayburn House Office Building,Washington,DC,20515-4604,VA04,F000445
The Honorable ,Jeff,,Fortenberry,,1514 Longworth House Office Building,Washington,DC,20515-2701,NE01,F000449
The Honorable ,Bill,,Foster,,1224 Longworth House Office Building,Washington,DC,20515-3808,IL11,F000454
The Honorable ,Virginia,,Foxx,,2350 Rayburn House Office Building,Washington,DC,20515-3305,NC05,F000450
Representative-elect,Lois,,Frankel,,1037 Longworth House Office Building,Washington,DC,20515-6601,FL22,F000462
The Honorable ,Trent,,Franks,,2435 Rayburn House Office Building,Washington,DC,20515-0302,AZ08,F000448
The Honorable ,Rodney,P.,Frelinghuysen,,2306 Rayburn House Office Building,Washington,DC,20515-3011,NJ11,F000372
The Honorable ,Marcia,L.,Fudge,,2344 Rayburn House Office Building,Washington,DC,20515-3511,OH11,F000455
Representative-elect,Tulsi,,Gabbard,,502 Cannon House Office Building,Washington,DC,20515-1102,HI02,G000571
Representative-elect,Pete,P.,Gallego,,431 Cannon House Office Building,Washington,DC,20515-4323,TX23,G000572
The Honorable ,John,,Garamendi,,2438 Rayburn House Office Building,Washington,DC,20515-0510,CA03,G000559
Representative-elect,Joe,,Garcia,,1440 Longworth House Office Building,Washington,DC,20515-6601,FL26,G000573
The Honorable ,Cory,,Gardner,,213 Cannon House Office Building,Washington,DC,20515-0604,CO04,G000562
The Honorable ,Scott,,Garrett,,2232 Rayburn House Office Building,Washington,DC,20515-3005,NJ05,G000548
The Honorable ,Jim,,Gerlach,,2442 Rayburn House Office Building,Washington,DC,20515-3806,PA06,G000549
The Honorable ,Bob,,Gibbs,,329 Cannon House Office Building,Washington,DC,20515-3518,OH07,G000563
The Honorable ,Christopher,P.,Gibson,,1708 Longworth House Office Building,Washington,DC,20515-3220,NY19,G000564
The Honorable ,Phil,,Gingrey,,442 Cannon House Office Building,Washington,DC,20515-1011,GA11,G000550
The Honorable ,Louie,,Gohmert,,2243 Rayburn House Office Building,Washington,DC,20515-4301,TX01,G000552
The Honorable ,Bob,,Goodlatte,,2309 Rayburn House Office Building,Washington,DC,20515-4606,VA06,G000289
The Honorable ,Paul,A.,Gosar,,504 Cannon House Office Building,Washington,DC,20515-0301,AZ04,G000565
The Honorable ,Trey,,Gowdy,,1404 Longworth House Office Building,Washington,DC,20515-4004,SC04,G000566
The Honorable ,Kay,,Granger,,1026 Longworth House Office Building,Washington,DC,20515-4312,TX12,G000377
The Honorable ,Sam,,Graves,,1415 Longworth House Office Building,Washington,DC,20515-2506,MO06,G000546
The Honorable ,Tom,,Graves,,432 Cannon House Office Building,Washington,DC,20515-1010,GA14,G000560
Representative-elect,Alan,,Grayson,,430 Cannon House Office Building,Washington,DC,20515-6601,FL09,G000574
The Honorable ,Al,,Green,,2201 Rayburn House Office Building,Washington,DC,20515-4309,TX09,G000553
The Honorable ,Gene,,Green,,2470 Rayburn House Office Building,Washington,DC,20515-4329,TX29,G000410
The Honorable ,Tim,,Griffin,,1232 Longworth House Office Building,Washington,DC,20515-0402,AR02,G000567
The Honorable ,H.,Morgan,Griffith,,1108 Longworth House Office Building,Washington,DC,20515-4609,VA09,G000568
The Honorable ,Raúl,M.,Grijalva,,1511 Longworth House Office Building,Washington,DC,20515-0307,AZ03,G000551
The Honorable ,Michael,G.,Grimm,,512 Cannon House Office Building,Washington,DC,20515-3213,NY11,G000569
The Honorable ,Brett,,Guthrie,,308 Cannon House Office Building,Washington,DC,20515-1702,KY02,G000558
The Honorable ,Luis,V.,Gutierrez,,2408 Rayburn House Office Building,Washington,DC,20515-1304,IL04,G000535
The Honorable ,Janice,,Hahn,,404 Cannon House Office Building,Washington,DC,20515-0536,CA44,H001063
The Honorable ,Ralph,M.,Hall,,2405 Rayburn House Office Building,Washington,DC,20515-4304,TX04,H000067
The Honorable ,Colleen,W.,Hanabusa,,238 Cannon House Office Building,Washington,DC,20515-1101,HI01,H001050
The Honorable ,Richard,L.,Hanna,,319 Cannon House Office Building,Washington,DC,20515-3224,NY22,H001051
The Honorable ,Gregg,,Harper,,307 Cannon House Office Building,Washington,DC,20515-2403,MS03,H001045
The Honorable ,Andy,,Harris,,1533 Longworth House Office Building,Washington,DC,20515-2001,MD01,H001052
The Honorable ,Vicky,,Hartzler,,1023 Longworth House Office Building,Washington,DC,20515-2504,MO04,H001053
The Honorable ,Alcee,L.,Hastings,,2353 Rayburn House Office Building,Washington,DC,20515-0923,FL20,H000324
The Honorable ,Doc,,Hastings,,1203 Longworth House Office Building,Washington,DC,20515-4704,WA04,H000329
Representative-elect,Denny,,Heck,,425 Cannon House Office Building,Washington,DC,20515-6601,WA10,H001064
The Honorable ,Joseph,J.,Heck,,132 Cannon House Office Building,Washington,DC,20515-2803,NV03,H001055
The Honorable ,Jeb,,Hensarling,,2228 Rayburn House Office Building,Washington,DC,20515-4305,TX05,H001036
The Honorable ,Jaime,,Herrera Beutler,,1130 Longworth House Office Building,Washington,DC,20515-4703,WA03,H001056
The Honorable ,Brian,,Higgins,,2459 Rayburn House Office Building,Washington,DC,20515-3227,NY26,H001038
The Honorable ,James,A.,Himes,,119 Cannon House Office Building,Washington,DC,20515-0704,CT04,H001047
The Honorable ,Rubén,,Hinojosa,,2262 Rayburn House Office Building,Washington,DC,20515-4315,TX15,H000636
Representative-elect,George,,Holding,,507 Cannon House Office Building,Washington,DC,20515-3313,NC13,H001065
The Honorable ,Rush,D.,Holt,,1214 Longworth House Office Building,Washington,DC,20515-3012,NJ12,H001032
The Honorable ,Michael,M.,Honda,,1713 Longworth House Office Building,Washington,DC,20515-0515,CA17,H001034
Representative-elect,Steven,A.,Horsford,,1330 Longworth House Office Building,Washington,DC,20515-6601,NV04,H001066
The Honorable ,Steny,H.,Hoyer,,1705 Longworth House Office Building,Washington,DC,20515-2005,MD05,H000874
Representative-elect,Richard,,Hudson,,429 Cannon House Office Building,Washington,DC,20515-3308,NC08,H001067
The Honorable ,Tim,,Huelskamp,,129 Cannon House Office Building,Washington,DC,20515-1601,KS01,H001057
Representative-elect,Jared,,Huffman,,1630 Longworth House Office Building,Washington,DC,20515-2002,CA02,H001068
The Honorable ,Bill,,Huizenga,,1217 Longworth House Office Building,Washington,DC,20515-2202,MI02,H001058
